problem_id,rating,tags
93070,2200,"['brute force', 'combinatorics', 'dfs and similar', 'dp', 'trees']"
93067.0,2100,"['constructive algorithms', 'implementation', 'math']"
93064,1500,"['greedy', 'sortings', 'strings']"
93062.0,800,"['greedy', 'strings']"
93060,800,"['greedy', 'math']"
93008,2500,"['binary search', 'bitmasks', 'brute force', 'dp', 'strings', 'two pointers']"
93004,1700,"['brute force', 'geometry', 'greedy', 'implementation']"
93002,1000,"['greedy', 'math']"
93000,800,"['greedy', 'math']"
92940,800,"['math', 'number theory']"
92884,2500,"['combinatorics', 'dp', 'fft', 'math']"
92880,1400,"['brute force', 'graphs', 'greedy']"
92832,2100,"['dfs and similar', 'dp', 'graphs', 'trees']"
92828,1500,"['data structures', 'dp', 'implementation', 'shortest paths', 'sortings', 'two pointers']"
92824,1100,"['greedy', 'two pointers']"
92820,800,"['implementation', 'math']"
92760,800,"['brute force', 'greedy']"
92706,3000,"['constructive algorithms', 'interactive', 'math']"
92702,1900,"['combinatorics', 'math']"
92586.0,1700,"['bitmasks', 'constructive algorithms', 'interactive', 'math']"
92582,900,"['combinatorics', 'greedy', 'math']"
92580,900,"['greedy', 'math', 'number theory']"
92528.0,2400,"['combinatorics', 'dp', 'fft', 'math']"
92524,1600,"['math', 'number theory']"
92520,800,['math']
92460,800,"['constructive algorithms', 'greedy', 'implementation']"
92404.0,2700,"['dp', 'math']"
92400,1400,"['constructive algorithms', 'graphs', 'greedy', 'shortest paths', 'sortings']"
92348,2500,"['binary search', 'constructive algorithms', 'data structures', 'dp', 'greedy', 'implementation']"
92344,1200,"['greedy', 'sortings']"
92340,1000,"['combinatorics', 'geometry', 'greedy', 'math']"
92290,1500,"['binary search', 'dp', 'math', 'number theory']"
92286,1700,"['constructive algorithms', 'math', 'number theory']"
92282,800,"['greedy', 'math']"
92230,2200,"['constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'math']"
92228.0,1600,"['binary search', 'brute force', 'dp', 'greedy', 'hashing', 'implementation', 'string suffix structures', 'strings', 'two pointers']"
92224,1200,"['constructive algorithms', 'greedy', 'implementation', 'math']"
